species,param,estimate,SE
érable_rouge,wood1,0.0315,0.0042
érable_rouge,wood2,2.0342,0.0423
érable_rouge,wood3,0.7485,0.0770
érable_rouge,bark1,0.0283,0.0029
érable_rouge,bark2,2.0907,0.0332
érable_rouge,bark3,,
érable_rouge,branches1,0.0225,0.0034
érable_rouge,branches2,2.4106,0.0475
érable_rouge,branches3,,
érable_rouge,foliage1,0.0064,
érable_rouge,foliage2,0.0358,
érable_rouge,foliage3,,
bouleau_blanc,wood1,0.0338,0.0011
bouleau_blanc,wood2,2.0702,0.0157
bouleau_blanc,wood3,0.6876,0.0233
bouleau_blanc,bark1,0.0080,0.0006
bouleau_blanc,bark2,1.9754,0.0320
bouleau_blanc,bark3,0.6659,0.0466
bouleau_blanc,branches1,0.0257,0.0020
bouleau_blanc,branches2,3.1754,0.0492
bouleau_blanc,branches3,-0.9417,0.0684
bouleau_blanc,foliage1,0.1415,0.0086
bouleau_blanc,foliage2,2.3074,0.0513
bouleau_blanc,foliage3,-1.1189,0.0723
épinette_noire,wood1,0.0309,0.0005
épinette_noire,wood2,1.7527,0.0120
épinette_noire,wood3,1.0014,0.0144
épinette_noire,bark1,0.0115,0.0004
épinette_noire,bark2,1.7405,0.0266
épinette_noire,bark3,0.6589,0.0303
épinette_noire,branches1,0.0380,0.0024
épinette_noire,branches2,3.2558,0.0543
épinette_noire,branches3,-1.4218,0.0606
épinette_noire,foliage1,0.2048,0.0087
épinette_noire,foliage2,2.5754,0.0496
épinette_noire,foliage3,-1.3704,0.0561